CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022004274,Angle,Philadelphia,rear bumper,2C3CDXBG1MHA00000,DODGE,Charger,2021
2022004285,Angle,Philadelphia,front bumper,3N1AB7AP7KYA00000,NISSAN,Sentra,2019
2022004288,Hit fixed object,Philadelphia,front quarter panel/side mirror,19XFB2F8XEEA00000,HONDA,Civic,2014
2022004296,Rear-end,Philadelphia,rear bumper,3VW5P7AT1DMA00000,VOLKSWAGEN,Beetle,2013
2022004298,Sideswipe (same dir.),Philadelphia,front quarter panel/side mirror,5YFEPMAE3MPA00000,TOYOTA,Corolla,2021
2022004396,Angle,Montgomery,rear bumper/tail light,2T1BURHE7HCA00000,TOYOTA,Corolla,2017
2022004517,Rear-end,Philadelphia,front bumper,1HGCR2F39EAA00000,HONDA,Accord,2014
2022004517,Rear-end,Philadelphia,front bumper,1HGCR2F39EAA00000,BMW,430i,2018
2022004517,Rear-end,Philadelphia,rear bumper,WBA4J3C50JBA00000,HONDA,Accord,2014
2022004517,Rear-end,Philadelphia,rear bumper,WBA4J3C50JBA00000,BMW,430i,2018
2022004541,Hit fixed object,Delaware,front bumper,SAJBD4BV9GCA00000,JAGUAR,XF,2016
2022004578,Other,Montgomery,front bumper/headlight,JN1BJ1BW8MWA00000,NISSAN,Rogue Sport,2021
2022004735,Hit pedestrian,Delaware,front bumper,3N1AB7AP2KYA00000,NISSAN,Sentra,2019
2022004828,Angle,Delaware,front bumper,1VWCM7A37DCA00000,VOLKSWAGEN,Passat,2013
2022004901,Angle,Delaware,front bumper,2HGFC2F60KHA00000,HONDA,Civic,2019
2022004980,Rear-end,Delaware,rear bumper,1G1JE6SB6F4A00000,CHEVROLET,Sonic,2015
2022005003,Rear-end,Montgomery,rear bumper,KNDCB3LC8H5A00000,KIA,Niro,2017
2022005035,Rear-end,Philadelphia,rear bumper/tail light,1FAHP2E81DGA00000,FORD,Taurus,2013
2022005108,Angle,Chester,front bumper,3KPFK4A74JEA00000,KIA,Forte,2018
2022005136,Angle,Philadelphia,front bumper,1HGCR2F5XEAA00000,HONDA,Accord,2014
2022005144,Angle,Montgomery,rear bumper,1G1ZB5ST4GFA00000,CHEVROLET,Malibu,2016
2022005205,Rear-end,Chester,rear bumper,3GTN9AEH2LGA00000,GMC,Sierra,2020
